hardening,baseline,SU −0.3σ,SU −0.15σ,SU +0.15σ,SU +0.3σ,refusal −0.2σ,refusal −0.1σ,refusal +0.1σ,refusal +0.2σ
soft,-4.199996251551101,-4.575000930664965,-4.499998950450117,-3.5249962545845848,-2.824999374262552,2.050101906390046,-1.5249997973446738,-3.9000323028623827,-1.5264168620109557
medium,-5.449998256873277,-5.800000726801431,-5.724999998231806,-4.799995859488263,-4.087495750522794,1.6501271255372558,-3.474999320508823,-4.725036331966112,-1.3342829436063766
hard,-5.899999155853038,-6.725000397511008,-6.3999998792075985,-5.174998195118815,-4.437496645880538,1.9127133562418748,-3.57499842942525,-4.762529895693296,-1.3615567550063132
