condition,mean,median,min,max
baseline,-8.249998636346152,-7.93749789546473,-9.124999063208634,-7.374998193362444
SU −0.3σ,-8.850000179273575,-8.500000448736671,-9.75000026350591,-8.250000044645105
SU −0.15σ,-8.69999956897043,-8.374998924973852,-9.500000393978326,-8.124999255584498
SU +0.15σ,-7.287494949591792,-7.156242059334545,-7.999996641565303,-6.374993077619365
SU +0.3σ,-6.2124901479741315,-6.187486275404808,-6.874991724444044,-5.249988083378412
refusal −0.2σ,1.5064069627274876,1.4688798525021411,1.0626561301469337,1.937731204845477
refusal −0.1σ,-3.812499125677789,-3.687499443070692,-4.749999053778083,-3.124999519439143
refusal +0.1σ,-6.143781123609733,-6.218778727958124,-6.750030038921977,-5.500035044999095
refusal +0.2σ,-1.6327332161366939,-1.6391273438930511,-1.783641442656517,-1.5267430543899536
