hardening,baseline,SU −1.0σ,SU −0.9σ,SU −0.85σ,SU −0.8σ,SU −0.75σ,SU −0.7σ,SU −0.65σ,SU −0.6σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,refusal −0.5σ,refusal −0.4σ,refusal −0.3σ,refusal −0.25σ,refusal +0.25σ,refusal +0.3σ,refusal +0.4σ
soft,0.6666666666666666,,,,0.0,0.0,0.25,0.6666666666666666,0.5,0.45454545454545453,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.0,0.75,0.8333333333333334,0.9090909090909091
soft2,0.5,,,,0.0,0.0,0.0,0.25,0.4444444444444444,0.6363636363636364,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.09090909090909091,0.9166666666666666,0.9166666666666666,0.8888888888888888
medium,1.0,,,,,0.0,0.0,0.5,0.5833333333333334,0.8333333333333334,1.0,1.0,,0.0,0.0,0.18181818181818182,1.0,1.0,0.75
medium2,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,,0.0,0.0,0.08333333333333333,1.0,1.0,0.75
hard,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.75,1.0,0.0,0.0,0.0,0.18181818181818182,1.0,1.0,1.0
