hardening,baseline,SU −1.0σ,SU −0.9σ,SU −0.85σ,SU −0.8σ,SU −0.75σ,SU −0.7σ,SU −0.65σ,SU −0.6σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,refusal −0.5σ,refusal −0.4σ,refusal −0.3σ,refusal −0.25σ,refusal +0.25σ,refusal +0.3σ,refusal +0.4σ
soft,0.5,,,,0.0,0.0,0.25,0.6666666666666666,0.75,0.5454545454545454,0.3333333333333333,0.0,0.0,0.6666666666666666,0.8333333333333334,0.75,0.0,0.0,0.0
soft2,0.5833333333333334,,,,0.0,0.0,0.0,0.5,0.7777777777777778,0.5454545454545454,0.5,0.1111111111111111,0.0,0.3333333333333333,0.8181818181818182,0.7272727272727273,0.0,0.0,0.0
medium,0.08333333333333333,,,,,0.5,1.0,1.0,0.9166666666666666,0.5,0.16666666666666666,0.0,,0.5555555555555556,0.8,0.7272727272727273,0.0,0.0,0.0
medium2,0.16666666666666666,,,,0.0,0.25,1.0,1.0,1.0,0.4166666666666667,0.08333333333333333,0.0,,0.0,0.75,0.75,0.08333333333333333,0.0,0.0
hard,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.6363636363636364,0.45454545454545453,0.0,0.08333333333333333,0.0
