hardening,baseline,SU −1.0σ,SU −0.5σ,SU +0.5σ,refusal −1.0σ,refusal −0.5σ,refusal +0.5σ
soft,-4.19999565906478,-6.081542980344966,-3.612550613049643,-2.187512946571951,1.4216804206371307,1.4740149557590485,-1.504520720243454
medium,-5.474998893418433,-6.511872978834435,-4.587525414557604,-3.2000083739958427,1.4253753006458283,1.493002712726593,-1.5153361916542054
hard,-5.9249990571324815,-7.024189199879766,-5.550070393464739,-3.462506734960061,1.462794202566147,1.6276336848735808,-1.5723040997982025
