condition,mean,median,min,max
baseline,-8.256248442178082,-7.9687477133917355,-8.999999457216063,-7.499997641324171
SU −1.0σ,-7.689022317144554,-7.7706464024377055,-8.019849646370858,-7.227328353794292
SU −0.5σ,-8.275020562723057,-8.21876201017858,-9.312508135924872,-6.687564128773374
SU +0.5σ,-4.77500699451557,-4.656272672069463,-5.375000033527613,-4.000007218724932
refusal −1.0σ,1.430017551779747,1.4266629070043564,1.3812455832958221,1.482347309589386
refusal −0.5σ,1.5449416995048524,1.5324841737747192,1.4678978621959686,1.6702114939689636
refusal +0.5σ,-1.4637285143136978,-1.4690393507480621,-1.4909847676753998,-1.4285533726215363
