hardening,baseline,SU −3.0σ,SU −2.0σ,SU −1.5σ,SU −1.0σ,SU −0.75σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,SU +1.5σ,SU +2.0σ,SU +3.0σ,SU +5.0σ,refusal −0.5σ,refusal −0.25σ,refusal +0.25σ,refusal +0.5σ
soft,0.5,,,,,0.0,0.5454545454545454,0.3333333333333333,0.0,,,,,0.0,0.75,0.0,
soft2,0.5833333333333334,,,,,0.0,0.5454545454545454,0.5,0.1111111111111111,,,,,0.0,0.7272727272727273,0.0,
medium,0.08333333333333333,,,,,0.5,0.5,0.16666666666666666,0.0,,,,,,0.7272727272727273,0.0,0.0
medium2,0.16666666666666666,,,,,0.25,0.4166666666666667,0.08333333333333333,0.0,,,,,,0.75,0.08333333333333333,
hard,0.16666666666666666,,,,,0.0,0.25,0.08333333333333333,0.0,,,,,0.0,0.45454545454545453,0.0,
