hardening,baseline,SU −3.0σ,SU −2.0σ,SU −1.5σ,SU −1.0σ,SU −0.75σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,SU +1.5σ,SU +2.0σ,SU +3.0σ,SU +5.0σ,refusal −0.5σ,refusal −0.25σ,refusal +0.25σ,refusal +0.5σ
soft,-4.145830870044866,-1.5565088490645091,-3.365061233441035,-5.840387464229328,-4.398713079785618,-3.5364974583541575,-4.739580962278144,-2.0833638382464414,-0.834440973053764,0.8537352772740027,1.0795193202793598,0.5282568310697874,-0.5269214510917664,-2.6566970103109875,-2.4475878086135103,-2.916676238014626,3.5840632591280155
soft2,-3.7187509660808473,-1.5437085554003716,-3.5169403058631965,-5.427228472195566,-3.576557513612594,-2.734438955782631,-4.052084641208694,-1.9583903244295773,-0.9072138320916565,0.8595649093234291,1.1211396509315819,0.5340445021477839,-0.5077964731802543,-2.981292909787347,-2.499736502942445,-2.5833455421055,3.6048443225057176
medium,-5.312498139670406,-1.5601039975881577,-2.917689507206281,-5.5605648107205825,-4.556108049272249,-4.255240646541097,-5.630208674972171,-3.2656324412555477,-1.56310965323064,0.9590854538255371,1.2271548847202212,0.535537562177827,-0.5129606537520885,-3.755217023504277,-3.7342064947709637,-4.130222767115508,3.738045239064377
medium2,-5.968749230746482,-1.5351385573546092,-2.9592147663546107,-5.696264108022054,-5.339854686831434,-5.359454053306763,-6.7968765644524,-3.432364092673803,-1.4074590439655974,1.1033544092206284,1.2486671617565055,0.5358208552934229,-0.502641849219799,-4.1537598908568425,-4.051769217999511,-3.4375150298432495,3.8803769848309457
hard,-5.677082625026799,-1.482324446241061,-2.7570976237766445,-5.88472804458191,-5.488998137492065,-5.333371851870045,-6.651041427744285,-3.3489644884059544,-1.3756285194540396,1.0487130060597945,1.2032888227452834,0.4697889330952118,-0.5284985279043516,-5.217218103197713,-4.713425323916151,-3.4427222307682164,3.9690192734706216
