hardening,baseline,SU −3.0σ,SU −2.0σ,SU −1.5σ,SU −1.0σ,SU −0.75σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,SU +1.5σ,SU +2.0σ,SU +3.0σ,SU +5.0σ,refusal −0.5σ,refusal −0.25σ,refusal +0.25σ,refusal +0.5σ
soft,0.6666666666666666,,,,,0.0,0.45454545454545453,0.6666666666666666,0.8571428571428571,,,,,0.0,0.0,0.75,
soft2,0.5,,,,,0.0,0.6363636363636364,0.8333333333333334,0.6666666666666666,,,,,0.0,0.09090909090909091,0.9166666666666666,
medium,1.0,,,,,0.0,0.8333333333333334,1.0,1.0,,,,,,0.18181818181818182,1.0,0.0
medium2,1.0,,,,,0.0,0.75,1.0,1.0,,,,,,0.08333333333333333,1.0,
hard,0.6666666666666666,,,,,0.0,0.5833333333333334,0.75,1.0,,,,,0.0,0.18181818181818182,1.0,
