hardening,baseline,SU −3.0σ,SU −2.0σ,SU −1.5σ,SU −1.0σ,SU −0.75σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,SU +1.5σ,SU +2.0σ,SU +3.0σ,SU +5.0σ,refusal −0.5σ,refusal −0.25σ,refusal +0.25σ,refusal +0.5σ
soft,0.0,,,,,,-0.5937500922332788,1.74580808897792,,,,,,,1.6982430614313553,0.8958196050162046,
soft2,0.0,,,,,,-0.3333336751278466,1.1561957351015053,,,,,,,1.2190144631384023,,
medium,0.0,,,,,,-0.3177105353017655,2.046865698414858,,,,,,,1.578291644899442,0.5624706632533885,
medium2,0.0,,,,,,-0.8281273337059174,2.536385138072679,,,,,,,1.9169800127469712,0.7812246745914422,
hard,0.0,,,,,,-0.9739588027174859,2.1713957502430348,,,,,,,0.963657301110648,0.802064148156262,
