hardening,baseline,SU −0.7σ,SU −0.5σ,SU −0.3σ,SU −0.15σ,SU +0.15σ,SU +0.3σ,SU +0.5σ,SU +0.7σ,refusal −0.15σ,refusal −0.1σ,refusal −0.05σ,refusal +0.05σ,refusal +0.1σ
soft,0.5833333333333334,,0.0,0.45454545454545453,0.5833333333333334,0.6666666666666666,0.6666666666666666,1.0,0.75,0.08333333333333333,0.16666666666666666,0.5,0.8333333333333334,0.9166666666666666
soft2,0.5,0.0,0.0,0.5,0.5,0.5,0.5833333333333334,0.75,0.8333333333333334,0.08333333333333333,0.25,0.5,0.6666666666666666,0.9166666666666666
medium,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0
medium2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.9166666666666666,1.0,1.0,1.0
hard,0.5833333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.9166666666666666,1.0
