hardening,baseline,SU −0.7σ,SU −0.5σ,SU −0.3σ,SU −0.15σ,SU +0.15σ,SU +0.3σ,SU +0.5σ,SU +0.7σ,refusal −0.15σ,refusal −0.1σ,refusal −0.05σ,refusal +0.05σ,refusal +0.1σ
soft,0.5,,0.0,0.6363636363636364,0.5833333333333334,0.3333333333333333,0.25,0.16666666666666666,0.0,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.25
soft2,0.5833333333333334,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.75,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667
medium,0.08333333333333333,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.0
medium2,0.25,0.0,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.75,0.5,0.08333333333333333,0.25,0.08333333333333333
hard,0.16666666666666666,0.0,0.2,0.25,0.25,0.08333333333333333,0.0,0.0,0.0,0.4166666666666667,0.25,0.08333333333333333,0.0,0.08333333333333333
