hardening,baseline,SU −0.7σ,SU −0.5σ,SU −0.3σ,SU −0.15σ,SU +0.15σ,SU +0.3σ,SU +0.5σ,SU +0.7σ,refusal −0.15σ,refusal −0.1σ,refusal −0.05σ,refusal +0.05σ,refusal +0.1σ
soft,0.0,,,-0.5000030305004284,-0.35416860554619234,0.6666675196993119,1.3229161873933317,1.670818352524016,2.5207283718805797,2.2395950676799616,1.6458462526772828,0.9166715889212464,-0.7083351162484544,-1.1780328134778024
soft2,0.0,,,-0.25000185830649935,-0.26041743021528374,-0.08541728665808623,0.5395773835225177,1.1645638254301578,1.8019958900049082,1.8020965521122512,1.3958406400364538,0.7500018142140261,-1.3854163281723726,-1.7951385869466772
medium,0.0,,0.11456952948818344,-0.33333599351227416,-0.29166823817403564,0.6562520174527053,1.2968771275740583,2.1562391209890843,3.0207597190851625,2.30208755125894,1.7395865741605117,0.9166685355514037,-0.7343763322763746,-0.9531270547058739
medium2,0.0,,,-0.6354187843918453,-0.5156261145634744,0.7760428073405397,1.5624931384764782,2.593712874447438,3.229020308996742,2.598970765841405,1.9948016576647087,0.9739618806094654,-0.5468755716656144,-0.7927091056205011
hard,0.0,,,-0.7916680554276736,-0.5000006304052249,0.770834057772352,1.5416660903541697,2.484365981657485,3.218662721182454,1.8437534783265614,1.3645860532677716,0.7083344480010965,-0.47395904699485936,-0.9020843226966049
