hardening,baseline,SU −0.3σ,SU −0.15σ,SU +0.15σ,SU +0.3σ,refusal −0.2σ,refusal −0.1σ,refusal +0.1σ,refusal +0.2σ
soft,-4.199996251551101,-3.549973912945643,-3.7749930294472507,-4.549999358701314,-5.0249997269135545,2.050101906390046,-1.5249997973446738,-3.9000323028623827,-1.5264168620109557
medium,-5.449998256873277,-4.774989519942392,-5.074996412868586,-5.824999489777133,-6.32499974714649,1.6501271255372558,-3.474999320508823,-4.725036331966112,-1.3342829436063766
hard,-5.899999155853038,-5.224995578565358,-5.474998291604197,-6.34999973336279,-6.799999839207191,1.9127133562418748,-3.57499842942525,-4.762529895693296,-1.3615567550063132
