condition,mean,median,min,max
baseline,-8.249998636346152,-7.93749789546473,-9.124999063208634,-7.374998193362444
SU −0.3σ,-7.068737969936047,-6.96872951296973,-7.749987481405697,-6.374979895597789
SU −0.15σ,-7.599995571982982,-7.43749167495298,-8.249995475111064,-6.874993112793163
SU +0.15σ,-9.099999613951601,-8.687499832711467,-10.125000005486072,-8.124999192777182
SU +0.3σ,-10.19999984554353,-9.750000006140915,-11.625000000240107,-9.12499967223269
refusal −0.2σ,1.5064069627274876,1.4688798525021411,1.0626561301469337,1.937731204845477
refusal −0.1σ,-3.812499125677789,-3.687499443070692,-4.749999053778083,-3.124999519439143
refusal +0.1σ,-6.143781123609733,-6.218778727958124,-6.750030038921977,-5.500035044999095
refusal +0.2σ,-1.6327332161366939,-1.6391273438930511,-1.783641442656517,-1.5267430543899536
